Date,prcod,prccd,prchd,prcld,cshtrd,tic,ajexdi,datadate
2018-10-23,7118.674,7113.531199999999,7118.674,7106.008950617284,1600747326.4382715,.N,1.0,20181023
2018-10-24,7106.229590123457,6865.715261405672,7117.337,6777.473,3675607326.257783,.N,1.0,20181024
2018-10-25,6857.147390875462,6885.791160493827,7063.925,6856.592076448828,5021925001.437279,.N,1.0,20181025
2018-10-26,6875.518355555556,6951.378720325203,6976.941,6743.775,16830194307.836079,.N,1.0,20181026
2018-10-29,6947.1797918699185,6678.2681849568435,6973.19,6574.745,3961144099.623101,.N,1.0,20181029
2018-10-30,6687.225600493218,6889.610832098765,6895.06389382716,6652.529,4374166545.851966,.N,1.0,20181030
2018-10-31,6891.965155555556,6980.894039506173,7030.507,6889.17034074074,4480947442.567901,.N,1.0,20181031
2018-11-01,6976.207096296296,7042.673503703704,7071.839,6932.211,4316037781.983952,.N,1.0,20181101
2018-11-02,7051.290839506173,6949.7795241269,7085.267,6909.067,16109713618.487442,.N,1.0,20181102
2018-11-05,6947.842061850173,6937.695056790123,6954.019214609438,6859.8,3574443106.140954,.N,1.0,20181105
2018-11-06,6938.297735802469,7032.129424691358,7036.398967901235,6928.002,2694627760.8012342,.N,1.0,20181106
2018-11-07,7035.95262345679,7182.815049382716,7205.963,7032.219971604938,3421804243.1037035,.N,1.0,20181107
2018-11-08,7187.2018148148145,7122.001575308642,7192.317,7118.192328395062,3419087312.3765435,.N,1.0,20181108
2018-11-09,7121.250880246914,6997.4060569105695,7122.844590123457,6982.888,12601517906.717129,.N,1.0,20181109
2018-11-12,6994.744658536585,6856.41009382716,7000.735330352303,6819.378,3483469260.940891,.N,1.0,20181112
2018-11-13,6846.537739506173,6873.587269135803,6951.442,6811.68,3267323667.276544,.N,1.0,20181113
2018-11-14,6869.515174074074,6756.545061728395,6916.095,6736.175,2926976057.3567896,.N,1.0,20181114
2018-11-15,6758.492314814815,6845.240592592592,6908.825,6702.422,5236505359.491358,.N,1.0,20181115
2018-11-16,6850.577641975308,6842.214031436314,6898.126,6797.426,18287415944.553658,.N,1.0,20181116
2018-11-19,6835.370307046071,6542.98372345679,6843.288079945799,6542.98372345679,5382914125.010538,.N,1.0,20181119
2018-11-20,6544.02242345679,6574.603713933416,6614.011,6442.36,6580353227.809182,.N,1.0,20181120
2018-11-21,6574.995552404439,6566.575901333333,6639.372,6564.8041146666665,3086324874.3719535,.N,1.0,20181121
2018-11-22,6564.880603555555,6539.200541333334,6566.760625333333,6532.091154666667,4546365271.679999,.N,1.0,20181122
2018-11-23,6532.465883555556,6608.372172899729,6610.012951761517,6524.549,14107783547.84459,.N,1.0,20181123
2018-11-26,6608.766793224932,6654.362283950617,6679.907,6590.886,3603315404.067118,.N,1.0,20181126
2018-11-27,6655.305013580247,6734.505755856967,6736.546969173859,6609.08,3123982988.134985,.N,1.0,20181127
2018-11-28,6733.642263871763,6895.921488888888,6914.792,6713.291,3434736481.077359,.N,1.0,20181128
2018-11-29,6900.026358024692,6896.889659259259,6938.019,6839.452,2883862232.792593,.N,1.0,20181129
2018-11-30,6898.216597530864,7087.880495392954,7092.780991327913,6872.291,25166164128.07416,.N,1.0,20181130
2018-12-03,7092.682708401084,7039.846987654321,7106.995,7013.196,6081147421.3077345,.N,1.0,20181203
2018-12-04,7041.242686419753,6765.631810666667,7045.678,6764.219055111111,2851684709.8365426,.N,1.0,20181204
2018-12-05,6764.752219111111,6676.516930666667,6766.994790666667,6670.848175111111,9712668230.400002,.N,1.0,20181205
2018-12-06,6673.179099111111,6821.678587654322,6840.495,6630.823,5107857986.281975,.N,1.0,20181206
2018-12-07,6819.798218518518,6604.239340921409,6849.378,6594.539,15062546695.979704,.N,1.0,20181207
2018-12-10,6604.251214905149,6743.977340740741,6744.22932345679,6534.327,3999419966.357334,.N,1.0,20181210
2018-12-11,6741.67910617284,6759.69621234568,6788.467,6650.834,3321990214.6518526,.N,1.0,20181211
2018-12-12,6761.193648148148,6785.334220715166,6867.662,6758.238040740741,3065082453.7590384,.N,1.0,20181212
2018-12-13,6788.6619075215785,6714.348301234568,6833.784,6713.466066666667,2854010705.144665,.N,1.0,20181213
2018-12-14,6715.894281481482,6570.636155555555,6716.929749382716,6568.833391869919,13102708057.3592,.N,1.0,20181214
2018-12-17,6573.14497506775,6478.448659259259,6621.633,6399.551,3482047942.8926497,.N,1.0,20181217
2018-12-18,6480.7533901234565,6480.39335308642,6551.043,6434.597,3191835561.416049,.N,1.0,20181218
2018-12-19,6484.891607407408,6329.821819753086,6575.392,6284.715,6425378591.995061,.N,1.0,20181219
2018-12-20,6325.080602469136,6262.857913580247,6380.967,6161.855,18873916553.17531,.N,1.0,20181220
2018-12-21,6272.679519753086,6015.852685636856,6308.313,5998.800597831978,46099180148.19437,.N,1.0,20181221
2018-12-24,5998.786376151761,5917.123112394491,6075.172,5895.117,3678408431.3324857,.N,1.0,20181224
2018-12-25,5914.2219924478,5970.538732119058,5970.538732119058,5913.7251466015105,6315996909.78232,.N,1.0,20181225
