,prcod,prccd,prchd,prcld,cshtrd,tic,ajexdi,datadate
2018-10-23,69.95,69.95,69.95,69.95,11900.0,ATVI,1.0,20181023
2018-10-24,69.95,67.81813186813187,70.09,65.75,13097418.395604394,ATVI,1.0,20181024
2018-10-25,67.83021978021978,69.46076923076923,70.93,67.5,8650797.80952381,ATVI,1.0,20181025
2018-10-26,69.23435897435898,69.45559273146813,70.21,67.5,7358759.42942617,ATVI,1.0,20181026
2018-10-29,69.45756273435246,65.80945619335347,71.0,63.4,11404530.756684303,ATVI,1.0,20181029
2018-10-30,65.4829003021148,68.97341772151898,68.9755877034358,64.22,9782937.68109406,ATVI,1.0,20181030
2018-10-31,67.98869801084992,69.98066666666666,70.16,66.59,8146063.8721117135,ATVI,1.0,20181031
2018-11-01,69.98033333333333,70.92857142857143,71.94,67.94,5331928.7698412705,ATVI,1.0,20181101
2018-11-02,71.07142857142857,69.31998247151621,71.5,68.0,6559060.342097575,ATVI,1.0,20181102
2018-11-05,69.99979257960852,64.67180633147115,73.58,64.0,16522780.172666984,ATVI,1.0,20181105
2018-11-06,64.67195530726258,63.60560165975104,65.9799,59.56,9554347.258501587,ATVI,1.0,20181106
2018-11-07,63.60373443983403,65.1015748031496,66.61,63.6,12946362.402211912,ATVI,1.0,20181107
2018-11-08,65.10116141732284,56.87883575883576,66.69,55.8,14710529.113354724,ATVI,1.0,20181108
2018-11-09,59.0948027027027,55.245621301775145,59.1,53.5,35109708.94658564,ATVI,1.0,20181109
2018-11-12,55.24569737954353,54.08297872340425,55.63,53.8,15317856.709870325,ATVI,1.0,20181112
2018-11-13,54.0831914893617,52.39040066777963,54.99,52.39,10873415.991510674,ATVI,1.0,20181113
2018-11-14,52.38918196994992,51.9020634920635,53.49,51.1,9501183.37272438,ATVI,1.0,20181114
2018-11-15,51.910000000000004,53.00169779286927,73.85,51.0,13043422.667192176,ATVI,1.0,20181115
2018-11-16,53.018319185059426,50.90010692010692,53.3,50.85,12250382.319096312,ATVI,1.0,20181116
2018-11-19,50.900053460053456,48.502655601659754,51.51,48.50207468879668,13461565.11023394,ATVI,1.0,20181119
2018-11-20,48.50103734439834,49.499247104247104,50.46,46.8118,14723915.605536776,ATVI,1.0,20181120
2018-11-21,49.591930501930506,51.09985446985447,51.6,49.49926640926641,10808627.776730027,ATVI,1.0,20181121
2018-11-22,51.09970893970894,50.89029106029106,51.09970893970894,50.89029106029106,11700.000000000007,ATVI,1.0,20181122
2018-11-23,50.89014553014553,49.76024029058396,51.43,49.71,5275829.002151177,ATVI,1.0,20181123
